disease_name,introduction,symptoms,causes,diagnosis,management
Abdominal Pain,"Abdominal pain can be felt anywhere between thorax ( chest ) and pelvis.  Pain could be mild, moderate or severe. It may be dull or acute.,Almost everyone has experienced abdominal pain, one time or other.  Most of the time, stomach pain is not serious, but severe abdominal pain is a cause of concern.  If pain starts suddenly and unexpectedly, it should be regarded as an emergency, and investigated accordingly.,References: www.nhs.uk,www.nlm.nih.gov,www.nlm.nih.gov,www.ncbi.nlm.nih.gov","Pain in abdomen can be of various intensities and nature. It can be:,Sharp, stabbing cramp like pain,Brief pain that may come or go,Pain associated with vomiting,Reference: www.nhs.uk","Various conditions are associated with abdominal pain . Causes of abdominal pain include:,Constipation,Irritable bowel syndrome,Food allergy,Food poisoning,Menstrual pain,Sudden, severe abdominal pain:,Abdominal infection,Appendicitis,A perforated peptic ulcer,Gallstones,Kidney stones,Diverticulitis : Inflammation of small pouches that are part of the bowel,Other common causes in adults are:,Irritable bowel syndrome,Crohn's disease,Urinary tract infection,Long term Peptic ulcer,Constipation,Heartburn and acid reflux,Common Causes in children,Constipation,Urinary tract Infection,Anxiety,Heartburn and acid reflux,References:,www.nlm.nih.gov,www.nhs.uk","Generally abdominal pain goes with time, but if the pain does not subside, then one should seek medical help:,Abdominal discomfort that lasts 1 week or longer,Abdominal pain that does not improve in 24 - 48 hours, or becomes more severe and frequent and occurs with nausea and vomiting,Bloating that persists for more than 2 days,Burning sensation or increase in frequency on urination,Diarrhoea for more than 5 days,Fever (over 100°F for adults or 100.4°F for children) with pain,Prolonged poor appetite,Prolonged vaginal bleeding,Unexplained weight loss,Reference:  www.nlm.nih.gov","Generally, treatment for abdominal pain depends upon its cause.,Treatment usually is with medications for inflammation of Gastroesophageal reflux disease (GERD) or Ulcers,Use antibiotics in case of infections,Modify your eating habits,Surgical treatment is indicated in conditions like appendicitis  or hernia (inguinal and umbilical),Seek doctors advice before going in for any treatment.,Reference: www.nlm.nih.gov"
Alcohol Abuse And Alcoholism,"Alcoholism is a condition  when a person have signs of physical addiction to alcohol and continues to drink , despite problems with physical and psychological health. Alcohol abuse is when person's drinking habits leads to problems, but not physical addiction.",People who have alcoholism or alcohol abuse often:,,"The medical professional will perform a physical examination and ask questions about person's medical and family history, including use of alcohol.",Treating alcoholism depends on how much a person drinks. Further treatment options are:
Alopecia (Hair Loss),Partial or complete loss of hair is called alopecia. Hair loss usually develops gradually and may be patchy or diffuse (all over). One loses up to 100 hair from the scalp everyday.,,There are many reasons for hair loss.  It include following reasons:,"Dermatologists can diagnose hair loss by asking questions about medical history, family history. A dermatologist may also carefully look at the scalp  to know the condition of scalp.",Treatment of hair loss depends upon the cause of disease.
Anxiety,Anxiety is an unpleasant emotional state of uneasiness and distress. It is generally characterized by apprehension and worry. An anxiety disorder can have a devastating effect on the person. Most of the people go through this disease and end up in a depression.,Some of the symptoms include:,The exact reason for the anxiety is still not known.,It can be diagnosed by the signs and symptoms. Psychiatric evaluation helps in diagnosing the disease.,"Anxiety can be treated with psychiatric therapy, medication, or both."
Appendicitis,"Appendicitis is the swelling (inflammation) of the appendix. The appendix is a small, tube like organ attached to the large intestine. The condition is due to blockage inside the appendix. The blockage leads to increased pressure and inflammation. Appendicitis can occur at any age but it is more common during childhood and adolescence.",The main symptom is pain in abdomen. It is dull initially but gets worse over time.,"The exact reason for acute appendicitis is still unclear.  Although, it is associated with the blockage  inside the appendix. This blockage  can be due to small pieces of faeces, a foreign body or infection.","Diagnosis may include thorough physical examination and careful consideration of the symptoms. If the diagnosis is not clear, then laboratory tests and ultrasound or CT scans may be performed.","Treatment generally include  surgical removal of appendix.  This procedure is known as an appendicectomy or appendectomy. The appendix is removed using laparoscopic (keyhole) surgery. In this procedure, surgeon uses a slender instrument (laparoscope), which is inserted through tiny incisions (cuts) in the abdomen. This eliminates the need for an abdominal incision."
Autism,"Autism spectrum disorder (ASD) is a range of complex neurodevelopment disorders, characterized by social impairments, communication difficulties, and restricted, repetitive, and stereotyped pattern of behaviour. It is a brain disorder that typically affects a person's ability to communicate with others. ASD form of disease generally begins in childhood and last through adulthood.","ASDs generally begin at or before the age of 3 and last throughout a person's life, even though symptoms may improve over time. Most of the children with an ASD may exhibit hints of future problems within the first few months of life. While others, show symptoms until 24 months or later. Some children with an ASD seem to develop normally until around 18 to 24 months of age and then they stop gaining new skills, or they lose the skills they once had.","The exact reason for the causes of ASD is not known, but it’s likely to be associated to genetics and environment factors.  Number of genes have been identified that are associated with this disorder.","Diagnosis of  ASDs can be difficult as there is no medical test, like a blood test, to diagnose the disorder. Physician may look at the child’s behavior and development to make a diagnosis.","There is no cure for the disease. However, it can be managed with the help of medications and specialist education."
Acquired Immuno Deficiency Syndrome,,,,"HIV test is done to detect human immunodeficiency virus in saliva, serum or urine. The UNAIDS/WHO policy statement on HIV Testing states that conditions under which people undergo HIV testing must be anchored in a human rights approach that pays due respect to ethical principles . According to these principles, the conduct of HIV testing of individuals must address:","Definitive cure for AIDS is yet to be discovered. However, some medicines, given at certain stage of the disease, depending upon CD4 count in the blood of the patient, can prolong life of HIV positive persons."
Alzheimer'S Disease,,"Forgetfulness,Language difficulties including difficulty in remembering names,Difficulty in planning and problem solving,Difficulty in doing previously familiar tasks,Difficulty in concentration,Difficulty in spatial relationships like remembering roads and routes to a particular destination,Difficulty in social behavior",Scientists have not yet understood the exact cause of Alzheimer's disease. It is postulated to have multifactorial etiology like:,"Early, accurate diagnosis is crucial for several reasons. It can tell people whether their symptoms are due to Alzheimer’s disease or another cause, such as stroke, tumour, Parkinson’s disease, sleep disturbances, side effects of medications, or other conditions that may be treatable and possibly reversible.","There is no cure for Alzheimer's disease; though symptomatic relief can be provided. Current treatments can be divided into Medical, Psychosocial and Care giving."
Anaemia,The condition of having a lower-than-normal number of red blood cells or quantity of hemoglobin.,The most common symptom of anaemia is fatigue or weakness.,Three main cause of anaemia are:,Medical History:,"Iron supplements:  The most commonly prescribed supplement is ferrous sulphate, taken orally (by mouth) two or three times a day."
Arthritis,Arthritis is a disease of joints (inflammation of joints). There are many types of arthritis.,"The commonest symptoms involve joints. Joint pain and stiffness is common feature along with swelling of joints.,Arthritic disorders like lupus and rheumatoid can also affect other organs in the body with a variety of symptoms.","When inflammation occurs, chemicals from the body are released into the blood or affected tissues. This release of chemicals increases the blood flow to the area of injury or infection and may result in redness and warmth. Some of the chemicals cause leakage of fluid into the tissues, resulting in swelling. This process may stimulate nerves and cause pain.","Physical Examination: It may show swollen, warm or red joints with restriction of movement.,Blood test: This is generally done for rheumatoid arthritis.,Rheumatoid factor (RF): It is checked for rheumatoid arthritis. However, RF can also be found in people without RA or with other autoimmune disorders. In general, if no rheumatoid factor is present in someone with RA, the course of the disease is less severe.,Levels of ESR (erythrocyte sedimentation rate) and C-reactive protein (CRP) levels: These are also increased. Both CRP and ESR levels are used to check disease activity and also to monitor how well someone is responding to treatment.,Imaging scans: Like X-ray, CT scans and MRI are commonly used to get the image of bones and cartilage to ascertain diagnosis.","Physical exercise: During pain, exercise seems to be the last option but  muscle strengthening and stretching exercises have proved to be very helpful.,To relieve pain: Pain relievers like NSAIDs (non-steroidal anti inflammatory drugs). NSAIDs generally interfere with chemicals called prostaglandins in the body, which trigger pain, inflammation, and fever. They are very helpful in relieving pain in all forms of arthritis.,Surgery: Joint replacement surgery is often performed for those who are not able to walk or have lot of difficulty in walking.,Disease-modifying anti rheumatic drugs (DMARDs): Often used to treat rheumatoid arthritis; DMARDs slow or stop immune system that attack joints. Examples include methotrexate (Trexall) and hydroxychloroquine (Plaquenil).,Intra-articular injection: It is a procedure used in the treatment of inflammatory joint conditions, such as rheumatoid arthritis, psoriatic arthritis, gout, tendinitis, bursitis and occasionally osteoarthritis. A hypodermic needle is injected into the affected joint where it delivers a dose of any one of many anti-inflammatory agents, the most common of which are corticosteroids."
